description,main_actors,metascore,movie_length_minutes,movie_rank,rating,release_year,title,vote_count
"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Bong Joon Ho | Bong Joon Ho | Kwang-rim Kim | Sung-bo Shim | Song Kang-ho,82.0,132,196,8.1,2003,Memories of Murder,253572
"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.",Jon Watts | Chris McKenna | Erik Sommers | Stan Lee | Tom Holland,71.0,148,195,8.2,2021,Spider-Man: No Way Home,983423
A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,Ridley Scott | Hampton Fancher | David Webb Peoples | Philip K. Dick | Harrison Ford,84.0,117,194,8.1,1982,Blade Runner,866693
"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Richard Linklater | Richard Linklater | Kim Krizan | Ethan Hawke | Julie Delpy,79.0,101,193,8.1,1995,Before Sunrise,367518
"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",Steve McQueen | John Ridley | Solomon Northup | Chiwetel Ejiofor | Dwight Henry,96.0,134,192,8.1,2013,12 Years a Slave,774105
"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",Wes Anderson | Stefan Zweig | Wes Anderson | Hugo Guinness | Ralph Fiennes,88.0,99,191,8.1,2014,The Grand Budapest Hotel,944667
"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",Mel Gibson | Robert Schenkkan | Andrew Knight | Andrew Garfield | Richard Pyros,71.0,139,190,8.1,2016,Hacksaw Ridge,656879
"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",Majid Majidi | Majid Majidi | Reza Naji | Amir Farrokh Hashemian | Bahare Seddiqi,77.0,89,189,8.2,1997,Children of Heaven,87870
"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",Hayao Miyazaki | Hayao Miyazaki | Noriko Hidaka | Chika Sakamoto | Shigesato Itoi,87.0,86,188,8.1,1988,My Neighbor Totoro,418651
"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.",Clint Eastwood | Nick Schenk | Dave Johannson | Clint Eastwood | Christopher Carley,73.0,116,187,8.1,2008,Gran Torino,849936
An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,Stanley Kubrick | Stanley Kubrick | William Makepeace Thackeray | Ryan O'Neal | Marisa Berenson,89.0,185,186,8.1,1975,Barry Lyndon,198429
"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.",George Miller | George Miller | Brendan McCarthy | Nick Lathouris | Tom Hardy,90.0,120,185,8.1,2015,Mad Max: Fury Road,1185456
"A Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, but it's not long before he regains his freedom and comes back for revenge.",William Wyler | Lew Wallace | Karl Tunberg | Maxwell Anderson | Charlton Heston,90.0,212,184,8.1,1959,Ben-Hur,267027
"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond.",Clint Eastwood | Paul Haggis | F.X. Toole | Clint Eastwood | Hilary Swank,86.0,132,183,8.1,2004,Million Dollar Baby,755536
"Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression.",Peter Weir | Tom Schulman | Robin Williams | Robert Sean Leonard | Ethan Hawke,79.0,128,182,8.1,1989,Dead Poets Society,617767
"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",Chris Sanders | Chris Sanders | Peter Brown | Lupita Nyong'o | Pedro Pascal,85.0,102,181,8.2,2024,The Wild Robot,201362
"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",Gavin O'Connor | Gavin O'Connor | Anthony Tambakis | Cliff Dorfman | Joel Edgerton,71.0,140,180,8.1,2011,Warrior,521359
Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,Joel Coen | Ethan Coen | Ethan Coen | Joel Coen | William H. Macy,88.0,98,179,8.1,1996,Fargo,767557
"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",Martin Scorsese | Jake LaMotta | Joseph Carter | Peter Savage | Robert De Niro,90.0,129,178,8.1,1980,Raging Bull,402332
"As the battle between the forces of good and evil in the wizarding world escalates, Harry Potter draws ever closer to his final confrontation with Voldemort.",David Yates | Steve Kloves | J.K. Rowling | Ralph Fiennes | Michael Gambon,85.0,130,177,8.1,2011,Harry Potter and the Deathly Hallows: Part 2,1018286
"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",David Lean | Pierre Boulle | Carl Foreman | Michael Wilson | William Holden,88.0,161,176,8.1,1957,The Bridge on the River Kwai,245393
"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends.",Danny Boyle | Irvine Welsh | John Hodge | Ewan McGregor | Ewen Bremner,83.0,93,175,8.1,1996,Trainspotting,758776
A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,Martin McDonagh | Martin McDonagh | Frances McDormand | Caleb Landry Jones | Kerry Condon,88.0,115,174,8.1,2017,"Three Billboards Outside Ebbing, Missouri",593534
